Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Agricultural land (% of land area),AG.LND.AGRI.ZS,Sub-Saharan Africa,SSF,40.4184209000901,41.5657938804502,43.3834120024218,43.4978011350348,43.6188029241274,43.7195663251039,43.8173040609251,43.9538823977432,44.0256904629967,44.0839187707916,44.1282771514759,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Afghanistan,AFG,58.3229842233568,57.9458166597673,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.2769881790166,58.2769881790166,58.7415482268525,58.7415482268525,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Albania,ALB,40.9124087591241,41.7518248175182,43.3321167883212,42.857299270073,42.8576642335766,43.1277372262774,42.8569708029197,42.8496715328467,42.8467153284672,42.538503649635,41.471897810219,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Algeria,DZA,16.2385482882263,16.8032614811021,17.3955322579291,17.3952656461243,17.4059228102468,17.3655321884285,17.3550108093197,17.3565679895505,17.347004145287,17.347004145287,17.347004145287,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,American Samoa,ASM,9.65,11.35,13.3,13.45,13.6,13.75,13.9,14.05,14.2,14.35,14.5,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Andorra,AND,48.936170212766,48.936170212766,40.0212765957447,40,40.0212765957447,40.0425531914894,40.0425531914894,40.0723404255319,40.0002127659574,39.9517021276596,39.9068085106383,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Angola,AGO,35.6589396005454,35.7126814791048,36.4867249538782,36.6359188256998,36.7281623486003,36.7562364642657,36.7145263495628,36.7305687013716,36.7987486965589,36.8107804604155,36.8147910483677,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Antigua and Barbuda,ATG,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Argentina,ARG,46.6128790619325,46.9581867146078,44.9219312381015,44.2830207294213,44.1187712163234,43.4794953027197,42.9863813585024,42.3715363084602,42.5907792625398,43.0292651706989,43.1023461553921,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Armenia,ARM,..,46.4699683877766,59.1148577449947,59.0340709518792,58.8935721812434,58.8970846505093,58.872497365648,58.9146469968388,58.9041095890411,58.8689848963822,58.8275377590446,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Aruba,ABW,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Australia,AUS,60.4554625567864,59.2881038230738,48.3937102169923,48.7383986566523,45.3144240657095,44.5399257932247,48.3406179391109,46.6580950127535,47.1237724290889,46.2524798427461,47.2592374954823,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Austria,AUT,36.6444498303442,35.630150266602,32.9180804653417,32.8914202617547,32.9429229277751,32.3578526417838,32.1694134755211,32.1477217644207,32.1280901599612,31.5398133785749,31.4767256422685,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Azerbaijan,AZE,..,57.3863567580655,57.7045451795933,57.7005431692535,57.7017529003303,57.7355751784202,57.7956013645932,57.8253926004791,57.8278123260822,57.8382498850519,57.8415003024803,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Bahamas, The",BHS,1.0989010989011,1.0989010989011,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bahrain,BHR,14.4927536231884,13.943661971831,11.0779220779221,10.9338521400778,10.694087403599,10.5519897304236,10.3974358974359,10.4113110539846,10.3846153846154,10.3184713375796,10.253164556962,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bangladesh,BGD,79.7879695782438,72.2132595836214,71.2760236613659,71.5986786509949,72.4763002227856,73.1136974725359,73.4526388568795,73.9594376584466,75.8392870861182,76.2694937389568,77.3450103710532,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Barbados,BRB,44.1860465116279,41.8604651162791,29.0697674418605,27.906976744186,25.5813953488372,23.2558139534884,23.2558139534884,23.2558139534884,23.2558139534884,23.2558139534884,23.2558139534884,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belarus,BLR,..,45.6105063890204,42.9317720346167,42.4879171121282,42.242016376159,42.0354897826473,41.8448381185095,41.6444969947778,41.3223954869066,40.7971228692482,40.2759300320276,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belgium,BEL,..,45.891677675033,44.1380449141347,43.9663143989432,43.8573315719947,44.6103038309115,43.8243064729194,44.7159841479524,44.7959907529723,45.066357331572,45.1013870541612,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belize,BLZ,5.52389302937308,6.53222270933801,7.01446733888645,7.01446733888645,7.45287154756686,7.45287154756686,7.54055238930294,7.54055238930294,7.62823323103902,7.89127575624726,7.97895659798334,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Benin,BEN,20.1312522170983,28.3345157857396,35.0301525363604,35.0301525363604,35.0301525363604,35.0301525363604,35.0301525363604,35.0301525363604,35.0301525363604,35.0301525363604,35.0301525363604,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bermuda,BMU,5.55555555555556,7.40740740740741,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bhutan,BTN,9.71684181238362,14.5226130653266,13.631712884015,13.7891229635071,13.7891229635071,13.6063338926174,13.4490352348993,13.4504457262716,13.4504457262716,13.4504457262716,13.4504457262716,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bolivia,BOL,32.7286993445952,34.2869011354195,34.8361488045786,34.8461578510108,34.8470741253577,34.8797480845565,34.7748052247761,34.9640905566325,35.0737763315794,35.0850864026585,35.1881908981815,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bosnia and Herzegovina,BIH,..,41.6015625,42.20703125,42.12890625,42.5,43.14453125,43.515625,43.18359375,43.28125,43.7890625,44.19921875,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Botswana,BWA,45.914280168687,45.7907645616078,45.6690134632012,45.8842835212535,45.6330174862809,45.6330174862809,45.6330174862809,45.6330174862809,45.63372328975,45.63372328975,45.63372328975,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brazil,BRA,28.1043390036539,27.3175012622426,27.9962527547995,28.0824920377022,28.1687313206048,28.2549706035075,28.3410663137971,28.4156284771492,28.490129502497,28.5646185634603,28.6390944636007,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,British Virgin Islands,VGB,53.3333333333333,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brunei Darussalam,BRN,2.46679316888046,2.27703984819734,2.5426944971537,2.5426944971537,2.5426944971537,2.5426944971537,2.5426944971537,2.5426944971537,2.5426944971537,2.5426944971537,2.5426944971537,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bulgaria,BGR,55.6720600198861,50.4564765434331,46.0114222549742,45.8456153279293,46.1670965364775,46.2509211495947,46.3294030950626,46.3338246131172,46.3983050847458,46.4904200442152,46.4867096536478,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Burkina Faso,BFA,34.9963450292398,37.1454678362573,42.8545321637427,43.3114035087719,43.8084795321637,44.2324561403509,44.6527777777778,45.3691520467836,45.7565789473684,46.1038011695906,46.5643274853801,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Burundi,BDI,81.0747663551402,72.702492211838,73.481308411215,74.5327102803738,75.5841121495327,76.6355140186916,77.6869158878505,78.7383177570093,79.7897196261682,80.8411214953271,81.892523364486,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cabo Verde,CPV,16.8734491315136,17.8660049627792,19.6029776674938,19.6029776674938,19.6029776674938,19.6029776674938,19.6029776674938,19.6029776674938,19.6029776674938,19.6029776674938,19.6029776674938,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cambodia,KHM,25.237933378654,27.0224337185588,31.5665318377521,31.7350787446182,31.9942669385905,32.2931112621799,32.7675725130297,33.1740527985497,33.7108305007931,34.2476076365284,34.552117040562,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cameroon,CMR,19.398785724863,19.3776311057519,20.6257536333058,20.6257536333058,20.6257536333058,20.6257536333058,20.6257536333058,20.6257536333058,20.6257536333058,20.6257536333058,20.6257536333058,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Canada,CAN,6.84874057368227,6.83580221714355,6.45155533545478,6.45947450195693,6.46750520601544,6.47475514717938,6.45441069689781,6.45681990811536,6.43435624426279,6.37073522211031,6.48457678610033,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cayman Islands,CYM,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Central African Republic,CAF,7.95531156698449,7.94889081511445,7.84294840925872,7.87665735657646,7.87665735657646,7.87665735657646,7.87665735657646,7.87986773251148,7.87986773251148,7.87986773251148,7.88147292047899,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Chad,TCD,38.3576874205845,38.6197585768742,39.7363405336722,39.8951715374841,39.8959656925032,39.9761753494282,39.9761753494282,39.9761753494282,39.9761753494282,39.9761753494282,39.9761753494282,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Channel Islands,CHI,42.9292929292929,39.8989898989899,47.7777777777778,48.0808080808081,46.7676767676768,46.9191919191919,46.5656565656566,43.2828282828283,43.2828282828283,43.2828282828283,43.2828282828283,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Chile,CHL,21.3830742994249,20.3219229300151,18.1994117267313,17.7064591705535,17.2121603374165,16.7192091261708,16.226256569993,15.7333040138151,15.2390051806782,14.7460539694324,14.2502770559976,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,China,CHN,53.8645647484888,55.694583211727,55.9433953923703,55.8632629794963,55.7831305666223,55.7030040870411,55.6228716656317,55.5427392442223,55.462649429444,55.462649429444,55.462649429444,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Colombia,COL,40.6336187471834,40.4317260027039,40.392609283461,40.3785488958991,40.3644885083371,40.3504281207751,39.195132942767,39.7007661108607,39.9765660207301,39.7046219017575,38.5020279405137,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Comoros,COM,61.257388500806,68.7802256851155,71.4669532509404,71.4669532509404,71.4669532509404,71.4669532509404,71.4669532509404,71.4669532509404,71.4669532509404,71.4669532509404,71.4669532509404,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Congo, Dem. Rep.",COD,11.4510046095146,11.2922079354227,13.8638318519662,14.2250942855252,14.3137557618932,14.4116803775832,14.6979554928211,14.8183763040074,14.9224763459121,14.9511479676231,14.9524712732406,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Congo, Rep.",COG,30.8081991215227,30.8638360175695,31.1185944363104,31.1185944363104,31.1185944363104,31.1185944363104,31.1215226939971,31.1303074670571,31.1361639824305,31.1537335285505,31.2679355783309,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Costa Rica,CRI,43.0591461026244,36.036036036036,35.2722287504896,34.9588719153937,35.0861731296514,34.8021934978457,34.8805327066197,34.9099099099099,34.7826086956522,34.9784567175872,35.4680767724246,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cote d'Ivoire,CIV,59.5283018867925,61.6352201257862,66.6666666666667,67.1383647798742,69.811320754717,68.8679245283019,69.1823899371069,72.7987421383648,73.0503144654088,73.2704402515723,73.8993710691824,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Croatia,HRV,..,20.9078552010302,28.0055035379887,26.954828103781,27.4676577800014,27.6249017225359,26.7493388606962,26.5170466728611,26.8744192695304,26.8942101501072,26.3759828448892,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cuba,CUB,62.7653631284916,61.024208566108,60.8549222797927,60.3622380311479,59.9452449567723,59.8490965013456,60.6936416184971,60.6936416184971,61.6666666666667,61.6666666666667,61.6666666666667,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cyprus,CYP,17.3809523809524,15.3138528138528,11.7781385281385,11.7943722943723,13.7099567099567,11.8387445887446,13.1406926406926,14.3340800865801,13.5636796536797,13.8148593073593,13.3262878787879,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Czechia,CZE,..,55.3901902420085,45.5969955969956,45.5322455322455,45.2532055433234,45.17549540215,45.6029011786038,45.628804558995,45.6399997409511,45.6468665918898,45.730560511424,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Denmark,DNK,69.7,66.175,65.7,66.315775,65.847475,65.6275,65.7825,65.8125,65.649125,65.499675,65.45,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Djibouti,DJI,56.0396893874029,69.0940465918896,73.4598792062122,73.4598792062122,73.4598792062122,73.4598792062122,73.4598792062122,73.4598792062122,73.4641932700604,73.5073339085419,73.5073339085419,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Dominica,DMA,24,28,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Dominican Republic,DOM,52.7013040778307,52.0596149865452,48.6855723452701,48.6855723452701,50.2794452494308,50.2794452494308,50.2794452494308,50.2794452494308,51.1034903536639,51.1034903536639,51.1034903536639,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Ecuador,ECU,28.3412801618263,32.477049444355,30.2504429054598,22.0446126590433,23.3089064261556,22.2096956031567,22.507650185215,21.9358995007248,21.4607827347399,21.8231599291351,22.024480592688,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Egypt, Arab Rep.",EGY,2.6601034707921,3.30604249334472,3.74802350695665,3.73217137977799,3.80719985936009,3.75083168416294,3.85450680596715,3.88065698930132,3.93992666633181,3.98915063539103,4.04942488321865,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,El Salvador,SLV,61.3320463320463,62.0994208494209,58.8030888030888,58.6003861003861,59.0250965250965,58.5955598455598,58.1660231660232,57.707528957529,57.707528957529,57.707528957529,57.707528957529,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Equatorial Guinea,GNQ,3.70231729055258,3.66666666666667,3.70837789661319,3.71301247771836,3.71764705882353,3.7222816399287,3.72691622103387,3.73155080213904,3.73618538324421,3.74046345811052,3.74046345811052,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Eritrea,ERI,..,74.5544554455445,62.7182592530622,62.7250437544772,62.6978016748456,62.7036614635264,62.70688595366,62.7035294042634,62.7020628070177,62.7226371689837,62.7226371689837,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Estonia,EST,..,23.2602028780373,22.1992178513918,22.4062571888659,22.8433402346446,23.0733839429492,22.9707602339181,23.0409356725146,23.1204678362573,23.0409356725146,23.0877192982456,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Eswatini,SWZ,71.9767441860465,71.1046511627907,70.8573546511628,70.6976744186046,70.4651162790698,70.2325581395349,70,69.8255813953488,69.593023255814,69.4767441860465,69.4767441860465,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Ethiopia,ETH,51.1462306993642,30.534,32.5180834179228,32.7060238794806,32.8929601801843,33.0793660251424,33.263928222695,33.5852342867904,33.8392576144297,34.0927517767343,34.1981062223837,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Faroe Islands,FRO,69.1489971346705,69.1210601719198,69.0565902578797,69.067335243553,69.067335243553,69.0186246418338,69.0186246418338,69.0078796561605,69.0078796561605,70.3294289897511,70.1240875912409,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Fiji,FJI,22.4411603721949,20.3503010399562,17.3508483853311,17.3125342090859,17.2742200328407,17.2359058565955,17.1975916803503,17.1592775041051,17.1209633278599,17.0552818828681,17.0552818828681,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Finland,FIN,7.85646278604025,7.2819199579763,7.43196551383724,7.46026522754944,7.48050409660755,7.48576881313547,7.4690708081074,7.47565148723348,7.48198598361465,7.46857932486675,7.46181004166177,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,France,FRA,55.8705251969626,54.4360781420356,52.549232317366,52.5360830014044,52.4637617636155,52.4475461002233,52.410066897145,52.3417653321937,52.2706969320089,52.1475462828527,52.1475462828527,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,French Polynesia,PYF,11.7486338797814,12.3883607029674,13.1086142322097,13.1086142322097,13.1086142322097,13.1086142322097,13.3967156439067,13.6848170556036,13.6848170556036,13.9729184673005,13.9729184673005,..
